                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3418,                   2.82,                 1.7913,                0.00319,                0.09178,                0.00206,                0.00065,                 3.3939,                 3.8379,                 3.0454,                0.00032,                0.00032,                0.00032
                      2,                 1.5023,                 1.2971,                 1.1905,                0.00593,                0.17076,                0.00985,                0.00431,                 3.4756,                 3.8923,                 2.9153,             0.00065406,             0.00065406,             0.00065406
                      3,                 1.2994,                0.98936,                 1.0706,                0.78614,                0.35219,                0.45474,                0.25644,                 1.7213,                 2.5583,                 1.5111,               0.000982,               0.000982,               0.000982
                      4,                 1.2084,                0.88232,                 1.0298,                0.82963,                0.76948,                0.84337,                0.54973,                 1.2335,                 1.2422,                 1.0777,              0.0013038,              0.0013038,              0.0013038
                      5,                 1.1842,                0.83296,                 1.0199,                0.84083,                0.83671,                0.89917,                0.59356,                 1.1801,                0.96102,                  1.007,              0.0016195,              0.0016195,              0.0016195
                      6,                 1.1625,                0.80641,                  1.012,                 0.8656,                0.85379,                  0.927,                0.62751,                 1.1714,                0.79909,                 1.0126,                0.00191,                0.00191,                0.00191
                      7,                 1.1271,                0.78777,                 0.9951,                0.82614,                 0.8826,                0.90872,                0.62468,                 1.0796,                0.81646,                0.98181,               0.001892,               0.001892,               0.001892
                      8,                 1.1042,                0.75861,                0.99304,                0.78997,                0.91121,                0.91548,                0.62865,                 1.0837,                0.99834,                0.99572,               0.001874,               0.001874,               0.001874
                      9,                 1.1108,                0.72544,                0.99654,                0.84772,                0.91782,                0.93373,                0.64862,                 1.0788,                 1.0623,                0.98792,               0.001856,               0.001856,               0.001856
                     10,                 1.1112,                0.71875,                 0.9923,                0.87093,                0.90715,                0.95663,                0.65864,                 1.1533,                0.77866,                 1.0003,               0.001838,               0.001838,               0.001838
                     11,                  1.096,                0.69886,                0.98755,                 0.8682,                0.92316,                0.94799,                0.66038,                 1.0497,                 0.7537,                0.97806,                0.00182,                0.00182,                0.00182
                     12,                 1.0956,                0.66179,                0.98437,                0.87248,                0.90075,                0.94962,                0.67367,                 1.0403,                0.68722,                0.97108,               0.001802,               0.001802,               0.001802
                     13,                   1.07,                0.65097,                0.97327,                0.90709,                0.90181,                0.96048,                0.69661,                 1.0288,                0.63134,                0.96759,               0.001784,               0.001784,               0.001784
                     14,                 1.0638,                0.66674,                0.97485,                0.92765,                0.89221,                0.96243,                0.68913,                 1.0277,                0.74488,                0.96739,               0.001766,               0.001766,               0.001766
                     15,                 1.0446,                 0.6401,                0.96983,                0.89579,                0.90825,                0.96498,                0.69205,                 1.0063,                0.64462,                0.95589,               0.001748,               0.001748,               0.001748
                     16,                 1.0538,                 0.6324,                0.95934,                0.87724,                0.91889,                0.95882,                0.67691,                 1.0745,                0.79735,                0.98172,                0.00173,                0.00173,                0.00173
                     17,                 1.0636,                0.63887,                 0.9675,                0.89043,                0.91932,                 0.9618,                0.69643,                 1.0142,                0.74399,                 0.9538,               0.001712,               0.001712,               0.001712
                     18,                 1.0193,                0.60979,                0.95831,                0.88749,                0.90928,                0.95448,                0.67847,                 1.0455,                0.64038,                0.96897,               0.001694,               0.001694,               0.001694
                     19,                  1.027,                0.59614,                0.95907,                0.89704,                0.91121,                0.96261,                0.69395,                 1.0188,                0.59626,                0.95869,               0.001676,               0.001676,               0.001676
                     20,                  1.018,                0.58428,                0.95909,                0.90141,                0.93063,                0.96937,                0.69665,                 1.0346,                0.57264,                0.95806,               0.001658,               0.001658,               0.001658
                     21,                 1.0236,                 0.5888,                0.95819,                0.90796,                0.90541,                0.96436,                0.69209,                 1.0612,                0.58718,                 0.9623,                0.00164,                0.00164,                0.00164
                     22,                 1.0222,                0.57466,                0.95481,                0.90013,                0.91379,                0.96199,                0.69717,                 1.0103,                0.58998,                0.95207,               0.001622,               0.001622,               0.001622
                     23,                 1.0061,                0.57399,                0.95308,                0.89306,                0.90911,                0.96158,                0.69456,                 1.0016,                0.57531,                0.95031,               0.001604,               0.001604,               0.001604
                     24,                 1.0042,                0.56188,                0.94624,                0.90133,                0.92613,                0.97022,                0.70516,                 1.0084,                0.56131,                0.95235,               0.001586,               0.001586,               0.001586
                     25,                0.99575,                0.56511,                0.94776,                0.87585,                0.93357,                0.96646,                0.70286,                 1.0083,                0.55728,                0.95589,               0.001568,               0.001568,               0.001568
                     26,                 1.0106,                0.56869,                 0.9476,                 0.9049,                0.93424,                0.97562,                0.69914,                 1.0401,                0.55069,                0.96582,                0.00155,                0.00155,                0.00155
                     27,                0.98006,                0.54906,                0.94178,                0.91546,                0.90715,                0.97153,                0.71368,                0.99227,                0.54921,                0.94355,               0.001532,               0.001532,               0.001532
                     28,                0.97763,                0.54915,                0.94509,                0.91084,                0.91579,                0.96937,                0.71625,                0.98849,                0.52471,                0.94525,               0.001514,               0.001514,               0.001514
                     29,                0.99942,                0.56349,                0.94681,                0.89931,                0.89541,                0.96104,                0.68739,                 1.0412,                 0.5759,                0.96198,               0.001496,               0.001496,               0.001496
                     30,                0.97365,                0.54582,                0.94393,                0.90089,                0.92162,                  0.969,                0.71459,                0.98387,                0.55125,                0.94631,               0.001478,               0.001478,               0.001478
                     31,                0.97709,                0.55036,                0.93989,                0.91634,                0.90007,                  0.972,                0.71045,                0.99109,                0.53467,                 0.9467,                0.00146,                0.00146,                0.00146
                     32,                0.98065,                0.54196,                0.94549,                0.90608,                0.92662,                0.97322,                0.71444,                0.98223,                0.57414,                 0.9434,               0.001442,               0.001442,               0.001442
                     33,                0.98046,                0.54344,                0.94152,                0.88948,                0.93383,                0.97239,                0.71018,                 1.0081,                0.52964,                0.95405,               0.001424,               0.001424,               0.001424
                     34,                0.96593,                0.55164,                0.93685,                 0.9298,                0.90466,                0.97567,                0.71066,                 1.0087,                0.53469,                0.95908,               0.001406,               0.001406,               0.001406
                     35,                 0.9702,                0.53671,                0.93669,                0.86166,                 0.9349,                0.93662,                0.65722,                 1.0299,                0.67056,                 0.9704,               0.001388,               0.001388,               0.001388
                     36,                0.98694,                0.55132,                0.94371,                0.90475,                 0.9381,                0.97256,                0.71066,                0.97641,                 0.5393,                0.94408,                0.00137,                0.00137,                0.00137
                     37,                0.96475,                0.53118,                0.93726,                 0.9143,                0.92229,                0.96632,                0.69683,                 1.0025,                0.54697,                0.95096,               0.001352,               0.001352,               0.001352
                     38,                 0.9534,                0.52756,                0.93662,                0.88244,                0.94526,                0.97291,                0.71551,                0.97615,                0.52368,                0.94287,               0.001334,               0.001334,               0.001334
                     39,                0.95326,                0.52121,                0.93695,                0.92107,                0.91782,                0.97348,                0.72021,                0.98867,                 0.5099,                0.94393,               0.001316,               0.001316,               0.001316
                     40,                0.93469,                0.51248,                0.92418,                0.92146,                0.92529,                0.97427,                 0.7247,                0.98921,                0.50172,                0.94297,               0.001298,               0.001298,               0.001298
                     41,                0.94348,                0.50625,                0.93372,                0.90653,                0.93151,                0.97082,                0.71423,                0.99517,                0.52403,                0.95006,                0.00128,                0.00128,                0.00128
                     42,                0.94416,                0.51965,                0.92734,                0.91118,                0.93276,                0.97491,                0.72805,                0.95768,                0.50859,                0.94244,               0.001262,               0.001262,               0.001262
                     43,                0.94076,                 0.5179,                0.93447,                0.90141,                0.93703,                0.97218,                 0.7232,                0.97631,                0.51424,                 0.9421,               0.001244,               0.001244,               0.001244
                     44,                0.94371,                0.51803,                0.93115,                0.91456,                0.93276,                0.97438,                0.72417,                0.98214,                0.50089,                0.94568,               0.001226,               0.001226,               0.001226
                     45,                0.94198,                0.50728,                0.92051,                0.90234,                 0.9317,                0.97276,                0.72292,                0.98725,                0.51169,                 0.9421,               0.001208,               0.001208,               0.001208
                     46,                0.94424,                0.51955,                0.93079,                0.92886,                0.91962,                0.97329,                0.72168,                0.98034,                0.51957,                0.94101,                0.00119,                0.00119,                0.00119
                     47,                 0.9159,                0.49699,                 0.9237,                 0.9245,                 0.9285,                0.97453,                0.71143,                 1.0024,                0.50992,                0.94985,               0.001172,               0.001172,               0.001172
                     48,                 0.9298,                0.49041,                0.93135,                0.89822,                0.95128,                0.97426,                0.72928,                 0.9655,                0.48996,                0.94036,               0.001154,               0.001154,               0.001154
                     49,                0.93654,                0.49572,                0.93208,                0.93548,                0.91289,                 0.9746,                0.72689,                0.97403,                0.49863,                0.94212,               0.001136,               0.001136,               0.001136
                     50,                0.92334,                0.49387,                0.92577,                0.91639,                0.93597,                0.97891,                0.71956,                0.97583,                0.50571,                0.94304,               0.001118,               0.001118,               0.001118
                     51,                0.92197,                0.48618,                0.92694,                0.90838,                0.94984,                0.97486,                0.72873,                0.95711,                0.49933,                0.94131,                 0.0011,                 0.0011,                 0.0011
                     52,                0.91159,                0.48483,                0.91899,                0.90633,                0.93703,                0.97414,                0.73015,                 0.9614,                0.49911,                0.94139,               0.001082,               0.001082,               0.001082
                     53,                 0.9126,                0.49521,                0.92158,                0.91025,                0.93597,                0.97335,                0.72221,                0.99508,                0.48665,                0.94883,               0.001064,               0.001064,               0.001064
                     54,                 0.9144,                 0.4847,                0.91947,                0.89038,                0.93617,                0.96944,                0.71427,                 0.9967,                0.52059,                0.95276,               0.001046,               0.001046,               0.001046
                     55,                0.90936,                0.47775,                0.92584,                0.89465,                0.92636,                0.96403,                0.71799,                0.96712,                0.51247,                0.94455,               0.001028,               0.001028,               0.001028
                     56,                0.90722,                0.48418,                0.92093,                 0.9228,                0.91889,                0.97527,                0.72027,                0.98268,                0.51532,                0.93911,                0.00101,                0.00101,                0.00101
                     57,                0.90991,                0.48537,                0.91999,                0.92074,                0.91889,                0.97027,                0.71875,                 1.0052,                0.51772,                0.95304,               0.000992,               0.000992,               0.000992
                     58,                0.89909,                0.47567,                0.91342,                0.91229,                0.93063,                0.97298,                0.72219,                0.96752,                0.49466,                0.93936,               0.000974,               0.000974,               0.000974
                     59,                0.90205,                0.47938,                0.92117,                0.89388,                0.93703,                0.96901,                0.73055,                0.97934,                0.49642,                0.94737,               0.000956,               0.000956,               0.000956
                     60,                0.89725,                0.47753,                0.91647,                0.86429,                0.94478,                0.95734,                0.71773,                0.96401,                  0.496,                0.94217,               0.000938,               0.000938,               0.000938
                     61,                 0.8934,                0.47117,                0.91576,                0.90047,                 0.9366,                0.97084,                0.72622,                0.95156,                0.50154,                0.93678,                0.00092,                0.00092,                0.00092
                     62,                0.88192,                0.47281,                0.91611,                0.91072,                0.92537,                 0.9734,                0.72802,                0.96701,                0.49947,                0.94258,               0.000902,               0.000902,               0.000902
                     63,                0.88624,                0.47102,                0.91151,                0.90309,                0.93486,                0.97042,                0.71862,                 0.9698,                0.51552,                0.94347,               0.000884,               0.000884,               0.000884
                     64,                0.88242,                0.47172,                0.91173,                0.92991,                0.92036,                0.97764,                0.72107,                0.99736,                0.49774,                0.95202,               0.000866,               0.000866,               0.000866
                     65,                0.87748,                0.46425,                0.91334,                0.91678,                 0.9413,                0.97152,                0.73257,                 0.9623,                0.47706,                0.93751,               0.000848,               0.000848,               0.000848
                     66,                 0.8734,                0.45733,                0.90653,                0.90315,                0.92556,                0.96897,                0.72154,                0.96312,                0.51274,                0.94035,                0.00083,                0.00083,                0.00083
                     67,                0.87256,                0.45589,                0.91515,                0.90163,                0.94237,                0.96972,                0.72537,                0.96336,                0.50609,                0.94105,               0.000812,               0.000812,               0.000812
                     68,                0.87818,                0.46769,                 0.9171,                0.90126,                0.91782,                0.96306,                0.71697,                0.96316,                0.51116,                0.93675,               0.000794,               0.000794,               0.000794
                     69,                 0.8832,                0.46727,                0.91266,                    0.9,                0.93171,                 0.9686,                0.72211,                 0.9697,                0.48176,                0.93866,               0.000776,               0.000776,               0.000776
                     70,                0.89584,                0.46471,                0.91637,                0.89145,                0.94657,                0.96895,                0.72724,                 0.9633,                0.49314,                 0.9345,               0.000758,               0.000758,               0.000758
                     71,                0.86698,                0.45711,                0.91087,                0.90094,                0.94771,                0.97273,                0.72928,                0.95038,                0.47801,                0.93474,                0.00074,                0.00074,                0.00074
                     72,                0.87265,                0.45125,                0.91133,                0.90365,                 0.9317,                 0.9752,                0.73086,                0.96109,                0.47689,                0.94345,               0.000722,               0.000722,               0.000722
                     73,                0.86362,                0.45897,                0.90573,                0.92068,                0.93383,                0.97837,                0.72914,                 0.9772,                0.49921,                0.94955,               0.000704,               0.000704,               0.000704
                     74,                0.86275,                0.45192,                0.91128,                0.90264,                0.93998,                0.96872,                0.73353,                0.94624,                 0.4721,                0.93557,               0.000686,               0.000686,               0.000686
                     75,                0.85959,                0.44253,                0.90369,                0.90974,                0.93383,                0.97155,                0.73313,                0.96939,                 0.4917,                 0.9429,               0.000668,               0.000668,               0.000668
                     76,                0.85705,                0.45129,                0.90055,                0.88458,                0.93242,                0.96628,                0.70807,                 1.0091,                0.50342,                0.95187,                0.00065,                0.00065,                0.00065
                     77,                0.85859,                0.45099,                0.90825,                0.91284,                0.93893,                0.96618,                0.73166,                0.96107,                0.47433,                0.94053,               0.000632,               0.000632,               0.000632
                     78,                0.85364,                0.44826,                0.90165,                 0.9045,                 0.9349,                 0.9709,                0.71889,                 0.9508,                0.49349,                 0.9357,               0.000614,               0.000614,               0.000614
                     79,                0.85334,                0.45068,                0.90484,                0.90232,                0.93657,                0.97137,                0.73394,                 0.9529,                0.47524,                0.93962,               0.000596,               0.000596,               0.000596
                     80,                0.85466,                0.43838,                0.90835,                0.92125,                0.92102,                0.96797,                0.72925,                0.97077,                0.47615,                0.94082,               0.000578,               0.000578,               0.000578
                     81,                0.84482,                0.44077,                0.90507,                0.90275,                0.94877,                0.96822,                0.73113,                 0.9455,                0.47019,                0.93516,                0.00056,                0.00056,                0.00056
                     82,                0.85189,                0.43934,                0.90766,                0.90678,                0.93434,                 0.9696,                 0.7284,                0.96381,                0.48274,                0.94035,               0.000542,               0.000542,               0.000542
                     83,                0.83939,                0.43282,                0.89363,                0.89657,                0.95283,                0.97317,                0.73461,                0.96399,                0.47623,                0.93561,               0.000524,               0.000524,               0.000524
                     84,                0.83514,                0.43276,                0.89875,                0.89043,                0.94534,                0.96932,                0.73238,                0.94449,                0.47784,                0.93436,               0.000506,               0.000506,               0.000506
                     85,                0.83597,                0.43485,                0.89912,                0.91621,                0.94557,                0.97486,                0.73837,                0.95579,                0.46399,                0.93797,               0.000488,               0.000488,               0.000488
                     86,                0.83147,                0.42668,                0.90145,                0.91737,                 0.9317,                0.96768,                0.73586,                0.95263,                0.46545,                0.93936,                0.00047,                0.00047,                0.00047
                     87,                0.84323,                0.43147,                0.90295,                0.91084,                0.94664,                0.97635,                0.74172,                0.94312,                0.46865,                0.93408,               0.000452,               0.000452,               0.000452
                     88,                0.83462,                0.43477,                0.89757,                0.89313,                0.94877,                0.96888,                0.73394,                0.94439,                0.46108,                0.93637,               0.000434,               0.000434,               0.000434
                     89,                 0.8252,                0.42186,                 0.8991,                0.90045,                0.94771,                  0.972,                 0.7334,                0.96745,                0.46329,                0.94042,               0.000416,               0.000416,               0.000416
                     90,                0.81071,                 0.4232,                 0.8986,                0.90968,                0.93597,                0.96975,                0.73042,                0.95616,                0.46929,                0.93554,               0.000398,               0.000398,               0.000398
                     91,                 0.8187,                0.41465,                0.89956,                0.91403,                0.93044,                0.96736,                0.73558,                0.94549,                 0.4778,                0.93577,                0.00038,                0.00038,                0.00038
                     92,                0.80883,                0.40427,                0.89459,                0.90949,                0.92102,                0.97209,                0.73128,                0.95846,                0.47756,                0.93823,               0.000362,               0.000362,               0.000362
                     93,                0.81312,                0.40005,                0.89653,                0.91579,                0.92846,                0.97234,                0.73333,                0.96498,                 0.4735,                0.94466,               0.000344,               0.000344,               0.000344
                     94,                0.79848,                0.39651,                0.89786,                0.90782,                 0.9413,                0.96854,                0.73672,                0.95311,                0.47071,                0.93855,               0.000326,               0.000326,               0.000326
                     95,                0.80144,                 0.3955,                0.89184,                 0.8925,                 0.9481,                0.96971,                 0.7359,                0.94556,                0.47246,                0.93955,               0.000308,               0.000308,               0.000308
                     96,                0.78005,                0.38535,                0.88719,                0.89291,                0.94557,                0.96921,                0.73518,                0.95926,                0.47872,                0.94053,                0.00029,                0.00029,                0.00029
                     97,                0.79605,                0.38884,                0.88952,                0.89271,                0.94877,                0.96947,                0.73316,                0.95053,                0.47535,                0.93795,               0.000272,               0.000272,               0.000272
                     98,                0.78432,                0.38454,                 0.8898,                0.91894,                0.93166,                0.97388,                0.73904,                0.94739,                0.47166,                0.93715,               0.000254,               0.000254,               0.000254
                     99,                0.77945,                0.38617,                0.88523,                0.91299,                0.94664,                0.97168,                0.74032,                0.94936,                0.46116,                0.93603,               0.000236,               0.000236,               0.000236
                    100,                0.77582,                0.38375,                0.88926,                0.90133,                0.94564,                0.97249,                0.73996,                0.95737,                0.46687,                0.93857,               0.000218,               0.000218,               0.000218
